DateTime,Temperature (°C),Humidity (%),WindSpeed (km/h),CloudCover (%),Visibility (km),Rain (mm),Thunderstorm,LaunchSite,SuitableForLaunch
2010-06-25 14:30:00,21.4,51,6.0,90,8.74,0.29,0,CCSFS SLC 40,1
2010-06-26 14:30:00,29.63,86,15.45,34,11.72,1.29,0,KSC LC 39A,1
2010-06-27 14:30:00,14.99,22,27.42,24,8.37,0.23,0,KSC LC 39A,1
2010-06-28 14:30:00,22.86,93,2.06,95,11.05,0.66,0,CCSFS SLC 40,1
2010-06-29 14:30:00,24.81,70,7.95,85,15.04,0.08,0,VAFB SLC 4E,1
2010-06-30 14:30:00,11.16,86,6.8,7,17.38,0.95,0,CCSFS SLC 40,1
2010-07-01 14:30:00,25.19,95,6.96,61,10.23,0.72,0,KSC LC 39A,1
2010-07-02 14:30:00,14.26,67,10.6,17,9.94,0.75,0,VAFB SLC 4E,1
2010-07-03 14:30:00,11.63,36,22.91,91,16.92,0.15,0,KSC LC 39A,1
2010-07-04 14:30:00,33.72,26,25.56,27,11.33,0.77,0,KSC LC 39A,1
2010-07-05 14:30:00,34.14,32,5.66,74,17.46,0.85,0,KSC LC 39A,1
2010-07-06 14:30:00,30.21,85,15.2,11,19.91,1.44,0,VAFB SLC 4E,1
2010-07-07 14:30:00,17.62,23,17.83,63,19.72,0.05,0,KSC LC 39A,1
2010-07-08 14:30:00,12.44,29,14.61,1,15.28,1.38,0,VAFB SLC 4E,1
2010-07-09 14:30:00,27.11,36,12.15,58,11.25,0.72,0,CCSFS SLC 40,1
2010-07-10 14:30:00,21.0,71,5.38,36,6.92,0.32,0,VAFB SLC 4E,1
2010-07-11 14:30:00,13.05,25,13.67,3,16.33,1.0,0,KSC LC 39A,1
2010-07-12 14:30:00,22.38,88,11.23,40,19.69,0.78,0,KSC LC 39A,1
2010-07-13 14:30:00,10.86,93,22.28,44,6.95,0.34,0,CCSFS SLC 40,1
2010-07-14 14:30:00,32.73,28,21.38,33,6.09,0.94,0,CCSFS SLC 40,1
2010-07-15 14:30:00,16.47,96,3.75,86,17.64,0.71,0,CCSFS SLC 40,1
2010-07-16 14:30:00,26.56,40,2.48,12,7.43,1.03,0,VAFB SLC 4E,1
2010-07-17 14:30:00,17.79,43,25.43,6,7.14,1.03,0,VAFB SLC 4E,1
2010-07-18 14:30:00,23.0,23,14.99,31,18.74,0.71,0,VAFB SLC 4E,1
2010-07-19 14:30:00,23.67,43,24.02,22,7.11,0.59,0,VAFB SLC 4E,1
2010-07-20 14:30:00,14.62,78,1.63,48,7.6,0.09,0,CCSFS SLC 40,1
2010-07-21 14:30:00,34.24,22,14.74,71,13.97,0.74,0,KSC LC 39A,1
2010-07-22 14:30:00,29.38,87,15.1,46,16.6,0.36,0,KSC LC 39A,1
2010-07-23 14:30:00,33.49,59,24.1,36,11.59,0.08,0,VAFB SLC 4E,1
2010-07-24 14:30:00,32.37,67,2.73,97,11.89,0.5,0,CCSFS SLC 40,1
2010-07-25 14:30:00,24.95,73,6.73,47,14.86,0.13,0,CCSFS SLC 40,1
2010-07-26 14:30:00,33.05,54,11.38,28,13.08,0.87,0,CCSFS SLC 40,1
2010-07-27 14:30:00,12.21,75,24.24,36,6.26,0.76,0,KSC LC 39A,1
2010-07-28 14:30:00,14.9,59,26.29,22,7.59,1.19,0,KSC LC 39A,1
2010-07-29 14:30:00,11.13,96,27.8,37,14.14,0.4,0,VAFB SLC 4E,1
2010-07-30 14:30:00,18.13,87,26.86,92,17.11,0.56,0,KSC LC 39A,1
2010-07-31 14:30:00,19.72,65,0.17,43,16.68,1.03,0,CCSFS SLC 40,1
2010-08-01 14:30:00,16.78,97,1.34,4,16.36,1.49,0,KSC LC 39A,1
2010-08-02 14:30:00,30.72,32,4.13,51,16.8,1.36,0,KSC LC 39A,1
2010-08-03 14:30:00,18.92,46,9.77,39,6.62,0.78,0,KSC LC 39A,1
2010-08-04 14:30:00,17.02,25,23.24,10,18.53,1.02,0,VAFB SLC 4E,1
2010-08-05 14:30:00,23.57,36,24.99,77,18.45,0.8,0,KSC LC 39A,1
2010-08-06 14:30:00,13.52,55,5.23,1,13.45,0.65,0,VAFB SLC 4E,1
2010-08-07 14:30:00,30.05,21,17.35,34,9.48,0.9,0,KSC LC 39A,1
2010-08-08 14:30:00,11.86,96,25.69,44,14.29,0.58,0,VAFB SLC 4E,1
2010-08-09 14:30:00,34.67,71,12.98,48,13.81,0.42,0,CCSFS SLC 40,1
2010-08-10 14:30:00,29.31,85,2.9,34,9.12,1.06,0,CCSFS SLC 40,1
2010-08-11 14:30:00,14.97,71,12.82,91,14.44,1.31,0,CCSFS SLC 40,1
2010-08-12 14:30:00,10.14,62,10.52,71,17.16,0.43,0,VAFB SLC 4E,1
2010-08-13 14:30:00,30.39,41,16.17,31,17.29,1.06,0,CCSFS SLC 40,1
2010-08-14 14:30:00,27.67,74,12.28,67,6.84,0.65,0,VAFB SLC 4E,1
2010-08-15 14:30:00,28.23,86,0.49,70,8.76,0.45,0,VAFB SLC 4E,1
2010-08-16 14:30:00,29.28,79,27.83,38,15.36,0.93,0,VAFB SLC 4E,1
2010-08-17 14:30:00,11.85,77,15.22,47,18.04,1.41,0,CCSFS SLC 40,1
2010-08-18 14:30:00,18.96,31,13.26,90,13.3,0.53,0,VAFB SLC 4E,1
2010-08-19 14:30:00,12.9,88,26.73,36,15.91,1.14,0,KSC LC 39A,1
2010-08-20 14:30:00,31.58,58,4.36,59,6.3,0.47,0,CCSFS SLC 40,1
2010-08-21 14:30:00,25.58,32,5.3,80,14.52,1.21,0,KSC LC 39A,1
2010-08-22 14:30:00,18.27,60,22.62,73,19.47,1.14,0,CCSFS SLC 40,1
2010-08-23 14:30:00,11.59,76,7.3,3,15.25,1.15,0,VAFB SLC 4E,1
2010-08-24 14:30:00,17.77,72,22.38,22,18.91,1.5,0,VAFB SLC 4E,1
2010-08-25 14:30:00,18.13,31,7.6,13,13.92,0.21,0,VAFB SLC 4E,1
2010-08-26 14:30:00,28.24,32,0.93,4,17.81,0.58,0,CCSFS SLC 40,1
2010-08-27 14:30:00,25.94,93,14.48,65,7.74,0.95,0,CCSFS SLC 40,1
2010-08-28 14:30:00,32.18,76,5.51,23,7.73,0.89,0,VAFB SLC 4E,1
2010-08-29 14:30:00,21.81,59,21.22,17,7.68,1.17,0,CCSFS SLC 40,1
2010-08-30 14:30:00,12.99,99,17.95,26,12.84,0.07,0,KSC LC 39A,1
2010-08-31 14:30:00,27.83,64,25.86,23,10.62,1.06,0,VAFB SLC 4E,1
2010-09-01 14:30:00,29.02,54,21.92,28,16.07,1.11,0,KSC LC 39A,1
2010-09-02 14:30:00,24.03,22,5.06,10,18.64,0.09,0,KSC LC 39A,1
2010-09-03 14:30:00,29.27,24,22.4,17,14.67,0.81,0,CCSFS SLC 40,1
2010-09-04 14:30:00,22.34,30,17.97,3,8.98,0.37,0,KSC LC 39A,1
2010-09-05 14:30:00,23.07,90,18.73,32,19.03,1.2,0,VAFB SLC 4E,1
2010-09-06 14:30:00,20.69,75,23.3,77,13.39,0.07,0,KSC LC 39A,1
2010-09-07 14:30:00,10.64,29,16.07,41,16.08,0.22,0,CCSFS SLC 40,1
2010-09-08 14:30:00,12.7,53,13.05,31,18.47,0.16,0,CCSFS SLC 40,1
2010-09-09 14:30:00,10.79,86,17.83,50,19.86,0.1,0,VAFB SLC 4E,1
2010-09-10 14:30:00,25.91,91,8.34,3,13.08,0.9,0,VAFB SLC 4E,1
2010-09-11 14:30:00,17.86,50,5.11,19,17.31,1.3,0,VAFB SLC 4E,1
2010-09-12 14:30:00,22.71,94,17.26,84,13.94,0.77,0,VAFB SLC 4E,1
2010-09-13 14:30:00,32.69,90,6.55,66,12.81,0.32,0,VAFB SLC 4E,1
2010-09-14 14:30:00,16.23,85,2.24,88,13.53,0.52,0,KSC LC 39A,1
2010-09-15 14:30:00,20.26,89,0.02,67,12.78,0.54,0,KSC LC 39A,1
2010-09-16 14:30:00,28.89,60,17.03,61,11.89,0.68,0,CCSFS SLC 40,1
2010-09-17 14:30:00,15.72,82,10.14,57,16.13,0.63,0,KSC LC 39A,1
2010-09-18 14:30:00,11.92,51,21.06,46,9.5,1.01,0,VAFB SLC 4E,1
2010-09-19 14:30:00,17.24,39,10.5,74,14.63,0.51,0,VAFB SLC 4E,1
2010-09-20 14:30:00,14.03,76,13.61,79,15.98,0.99,0,CCSFS SLC 40,1
2010-09-21 14:30:00,33.24,69,11.4,58,18.49,0.82,0,VAFB SLC 4E,1
2010-09-22 14:30:00,30.2,99,18.22,99,10.65,0.07,0,CCSFS SLC 40,1
2010-09-23 14:30:00,25.84,44,9.97,5,18.05,1.38,0,KSC LC 39A,1
2010-09-24 14:30:00,31.79,31,26.99,94,19.23,0.27,0,KSC LC 39A,1
2010-09-25 14:30:00,30.09,90,26.21,39,15.08,0.68,0,KSC LC 39A,1
2010-09-26 14:30:00,14.66,58,23.74,76,16.8,1.42,0,CCSFS SLC 40,1
2010-09-27 14:30:00,32.31,36,25.77,22,11.68,0.37,0,VAFB SLC 4E,1
2010-09-28 14:30:00,23.48,64,12.58,51,19.33,0.03,0,CCSFS SLC 40,1
2010-09-29 14:30:00,30.19,30,15.02,3,15.39,0.74,0,KSC LC 39A,1
2010-09-30 14:30:00,32.4,89,20.78,36,10.34,0.34,0,CCSFS SLC 40,1
2010-10-01 14:30:00,17.95,42,19.49,41,11.66,0.87,0,VAFB SLC 4E,1
2010-10-02 14:30:00,12.75,89,24.94,43,14.65,1.23,0,CCSFS SLC 40,1
2010-10-03 14:30:00,15.7,57,20.06,96,9.28,0.77,0,KSC LC 39A,1
2010-10-04 14:30:00,20.68,21,27.94,41,16.55,0.97,0,VAFB SLC 4E,1
2010-10-05 14:30:00,30.45,98,9.76,28,9.15,1.0,0,KSC LC 39A,1
2010-10-06 14:30:00,31.52,91,23.32,18,14.29,1.23,0,VAFB SLC 4E,1
2010-10-07 14:30:00,10.17,56,19.53,83,15.76,1.03,0,VAFB SLC 4E,1
2010-10-08 14:30:00,22.77,68,19.36,31,18.04,1.46,0,KSC LC 39A,1
2010-10-09 14:30:00,20.44,71,9.12,43,16.27,0.68,0,KSC LC 39A,1
2010-10-10 14:30:00,15.55,52,22.0,54,17.18,0.08,0,KSC LC 39A,1
2010-10-11 14:30:00,13.0,41,25.21,79,18.78,0.59,0,CCSFS SLC 40,1
2010-10-12 14:30:00,18.44,24,6.12,4,14.37,1.26,0,KSC LC 39A,1
2010-10-13 14:30:00,33.57,37,17.51,45,17.85,0.2,0,VAFB SLC 4E,1
2010-10-14 14:30:00,18.08,57,10.98,75,9.25,1.1,0,CCSFS SLC 40,1
2010-10-15 14:30:00,22.97,56,27.71,44,17.41,0.8,0,CCSFS SLC 40,1
2010-10-16 14:30:00,27.58,83,13.41,20,9.1,1.35,0,CCSFS SLC 40,1
2010-10-17 14:30:00,19.09,29,6.39,77,19.08,1.1,0,CCSFS SLC 40,1
2010-10-18 14:30:00,34.29,98,10.69,21,10.62,0.99,0,CCSFS SLC 40,1
2010-10-19 14:30:00,34.06,61,18.31,29,8.41,1.33,0,CCSFS SLC 40,1
2010-10-20 14:30:00,16.29,67,2.13,22,8.07,1.36,0,KSC LC 39A,1
2010-10-21 14:30:00,22.43,63,16.9,4,8.62,0.58,0,VAFB SLC 4E,1
2010-10-22 14:30:00,17.52,35,26.07,62,12.27,1.39,0,KSC LC 39A,1
2010-10-23 14:30:00,17.12,73,23.81,92,13.31,0.08,0,VAFB SLC 4E,1
2010-10-24 14:30:00,10.92,54,1.89,58,18.79,1.14,0,CCSFS SLC 40,1
2010-10-25 14:30:00,25.24,47,27.81,93,11.33,0.5,0,KSC LC 39A,1
2010-10-26 14:30:00,22.57,21,19.56,81,9.04,0.73,0,KSC LC 39A,1
2010-10-27 14:30:00,11.29,32,4.54,51,16.41,1.25,0,KSC LC 39A,1
2010-10-28 14:30:00,16.97,60,0.35,64,7.89,0.96,0,VAFB SLC 4E,1
2010-10-29 14:30:00,32.71,99,4.8,38,18.49,0.69,0,CCSFS SLC 40,1
2010-10-30 14:30:00,15.99,78,23.47,80,11.73,0.25,0,CCSFS SLC 40,1
2010-10-31 14:30:00,13.62,88,0.61,2,14.59,1.41,0,CCSFS SLC 40,1
2010-11-01 14:30:00,22.24,72,6.53,41,8.61,0.5,0,VAFB SLC 4E,1
2010-11-02 14:30:00,34.64,64,21.2,70,8.04,0.15,0,KSC LC 39A,1
2010-11-03 14:30:00,16.05,39,16.41,26,17.18,0.85,0,VAFB SLC 4E,1
2010-11-04 14:30:00,26.8,43,21.92,27,12.02,0.61,0,CCSFS SLC 40,1
2010-11-05 14:30:00,29.04,80,20.89,53,19.81,0.89,0,VAFB SLC 4E,1
2010-11-06 14:30:00,15.94,77,1.42,94,13.34,0.35,0,VAFB SLC 4E,1
2010-11-07 14:30:00,28.21,46,24.99,14,17.84,0.57,0,VAFB SLC 4E,1
2010-11-08 14:30:00,19.19,45,6.36,52,19.72,1.46,0,CCSFS SLC 40,1
2010-11-09 14:30:00,25.81,26,15.49,71,9.94,1.4,0,KSC LC 39A,1
2010-11-10 14:30:00,25.84,61,18.04,69,17.21,1.3,0,CCSFS SLC 40,1
2010-11-11 14:30:00,23.39,66,4.72,91,6.31,1.17,0,VAFB SLC 4E,1
2010-11-12 14:30:00,12.26,72,27.33,3,15.52,0.23,0,KSC LC 39A,1
2010-11-13 14:30:00,30.88,78,13.67,93,16.43,0.7,0,KSC LC 39A,1
2010-11-14 14:30:00,18.02,57,1.61,16,12.68,1.09,0,CCSFS SLC 40,1
2010-11-15 14:30:00,14.66,88,26.24,33,8.27,0.39,0,CCSFS SLC 40,1
2010-11-16 14:30:00,11.02,72,16.42,5,14.63,0.05,0,KSC LC 39A,1
2010-11-17 14:30:00,24.77,34,19.58,35,18.57,0.63,0,VAFB SLC 4E,1
2010-11-18 14:30:00,26.94,45,14.7,98,19.04,0.64,0,CCSFS SLC 40,1
2010-11-19 14:30:00,10.41,67,23.37,38,16.45,0.1,0,KSC LC 39A,1
2010-11-20 14:30:00,22.8,38,0.93,79,9.69,0.48,0,KSC LC 39A,1
2010-11-21 14:30:00,15.66,28,7.51,65,18.18,1.38,0,VAFB SLC 4E,1
2010-11-22 14:30:00,26.13,83,13.15,7,18.44,0.38,0,KSC LC 39A,1
2010-11-23 14:30:00,14.36,73,2.14,14,11.14,0.85,0,CCSFS SLC 40,1
2010-11-24 14:30:00,27.27,70,19.77,62,8.56,0.73,0,KSC LC 39A,1
2010-11-25 14:30:00,19.67,58,11.02,90,18.25,1.29,0,VAFB SLC 4E,1
2010-11-26 14:30:00,33.42,23,7.63,79,18.39,0.98,0,VAFB SLC 4E,1
2010-11-27 14:30:00,13.44,22,0.09,64,7.41,0.24,0,VAFB SLC 4E,1
2010-11-28 14:30:00,18.53,83,20.16,58,19.54,0.21,0,CCSFS SLC 40,1
2010-11-29 14:30:00,12.84,48,23.35,9,13.46,0.84,0,CCSFS SLC 40,1
2010-11-30 14:30:00,33.12,30,11.06,6,19.91,0.07,0,CCSFS SLC 40,1
2010-12-01 14:30:00,31.93,77,15.8,73,12.23,0.59,0,KSC LC 39A,1
2010-12-02 14:30:00,16.45,94,6.38,75,13.47,0.6,0,VAFB SLC 4E,1
2010-12-03 14:30:00,26.5,46,17.42,80,9.73,0.29,0,VAFB SLC 4E,1
2010-12-04 14:30:00,30.43,40,0.34,11,18.59,0.45,0,VAFB SLC 4E,1
2010-12-05 14:30:00,23.88,58,13.68,78,12.21,0.49,0,CCSFS SLC 40,1
2010-12-06 14:30:00,23.24,65,18.04,45,17.4,0.02,0,VAFB SLC 4E,1
2010-12-07 14:30:00,16.05,85,25.71,31,7.12,1.21,0,KSC LC 39A,1
2010-12-08 14:30:00,12.33,55,10.68,31,17.04,1.44,0,KSC LC 39A,1
2010-12-09 14:30:00,32.43,94,21.43,89,12.86,0.43,0,CCSFS SLC 40,1
2010-12-10 14:30:00,32.51,84,16.74,77,6.08,0.17,0,CCSFS SLC 40,1
2010-12-11 14:30:00,25.83,82,25.96,89,9.17,1.43,0,CCSFS SLC 40,1
2010-12-12 14:30:00,18.48,54,11.15,60,8.71,1.11,0,VAFB SLC 4E,1
2010-12-13 14:30:00,18.73,50,8.93,68,16.52,1.34,0,VAFB SLC 4E,1
2010-12-14 14:30:00,28.15,47,24.84,60,12.68,0.54,0,VAFB SLC 4E,1
2010-12-15 14:30:00,32.43,20,1.38,45,8.24,0.73,0,KSC LC 39A,1
2010-12-16 14:30:00,32.18,44,3.82,67,9.6,1.4,0,KSC LC 39A,1
2010-12-17 14:30:00,29.5,62,2.31,91,13.06,0.69,0,VAFB SLC 4E,1
2010-12-18 14:30:00,26.05,86,23.61,54,6.27,1.01,0,KSC LC 39A,1
2010-12-19 14:30:00,12.1,82,0.3,0,11.94,1.06,0,KSC LC 39A,1
2010-12-20 14:30:00,14.04,70,24.13,76,15.49,1.26,0,CCSFS SLC 40,1
2010-12-21 14:30:00,32.46,21,12.64,66,13.25,1.46,0,VAFB SLC 4E,1
2010-12-22 14:30:00,25.16,83,0.11,48,14.37,0.5,0,KSC LC 39A,1
2010-12-23 14:30:00,10.23,93,11.25,24,10.57,0.37,0,KSC LC 39A,1
2010-12-24 14:30:00,12.54,88,5.23,15,8.56,0.12,0,VAFB SLC 4E,1
2010-12-25 14:30:00,26.59,28,17.48,84,17.34,1.28,0,VAFB SLC 4E,1
2010-12-26 14:30:00,10.13,21,19.02,12,18.68,0.44,0,CCSFS SLC 40,1
2010-12-27 14:30:00,14.02,53,13.65,51,13.15,0.07,0,CCSFS SLC 40,1
2010-12-28 14:30:00,23.72,79,1.13,35,10.27,1.3,0,VAFB SLC 4E,1
2010-12-29 14:30:00,27.3,80,18.37,71,13.16,0.76,0,KSC LC 39A,1
2010-12-30 14:30:00,26.3,50,23.58,43,18.31,1.26,0,CCSFS SLC 40,1
2010-12-31 14:30:00,15.61,29,20.17,82,15.68,0.83,0,VAFB SLC 4E,1
2011-01-01 14:30:00,27.8,95,23.24,46,18.02,0.47,0,CCSFS SLC 40,1
2011-01-02 14:30:00,15.93,55,5.61,79,10.6,0.19,0,KSC LC 39A,1
2011-01-03 14:30:00,18.13,68,24.89,75,15.97,0.66,0,KSC LC 39A,1
2011-01-04 14:30:00,28.66,89,9.02,19,15.14,0.04,0,VAFB SLC 4E,1
2011-01-05 14:30:00,26.24,68,0.38,17,14.0,0.9,0,CCSFS SLC 40,1
2011-01-06 14:30:00,31.23,22,23.61,53,13.4,0.64,0,KSC LC 39A,1
2011-01-07 14:30:00,26.44,93,26.37,11,13.71,0.21,0,KSC LC 39A,1
2011-01-08 14:30:00,24.21,24,18.36,24,17.9,0.8,0,CCSFS SLC 40,1
2011-01-09 14:30:00,12.34,80,6.48,59,18.82,1.2,0,VAFB SLC 4E,1
2011-01-10 14:30:00,19.19,45,7.05,74,7.58,1.46,0,CCSFS SLC 40,1
2011-01-11 14:30:00,16.63,91,13.06,85,13.96,0.79,0,CCSFS SLC 40,1
2011-01-12 14:30:00,16.1,24,25.14,33,18.86,0.19,0,CCSFS SLC 40,1
2011-01-13 14:30:00,34.33,34,4.19,12,7.89,1.22,0,CCSFS SLC 40,1
2011-01-14 14:30:00,19.83,35,23.13,37,11.78,1.04,0,CCSFS SLC 40,1
2011-01-15 14:30:00,32.3,20,8.16,11,7.25,1.43,0,KSC LC 39A,1
2011-01-16 14:30:00,25.78,35,22.64,35,7.59,0.8,0,VAFB SLC 4E,1
2011-01-17 14:30:00,29.87,56,25.77,27,18.66,0.54,0,VAFB SLC 4E,1
2011-01-18 14:30:00,22.57,22,11.97,90,12.25,1.44,0,KSC LC 39A,1
2011-01-19 14:30:00,24.42,71,10.22,38,15.64,0.81,0,VAFB SLC 4E,1
2011-01-20 14:30:00,22.31,66,22.46,76,7.94,0.02,0,VAFB SLC 4E,1
2011-01-21 14:30:00,14.88,32,14.83,42,6.31,0.71,0,CCSFS SLC 40,1
2011-01-22 14:30:00,28.06,99,19.16,90,18.47,0.0,0,VAFB SLC 4E,1
2011-01-23 14:30:00,17.02,74,17.44,30,14.04,1.11,0,CCSFS SLC 40,1
2011-01-24 14:30:00,10.61,40,4.28,1,6.28,0.85,0,VAFB SLC 4E,1
2011-01-25 14:30:00,26.14,85,23.65,81,19.89,0.16,0,KSC LC 39A,1
2011-01-26 14:30:00,14.43,73,5.48,89,12.89,1.22,0,VAFB SLC 4E,1
2011-01-27 14:30:00,33.51,46,26.1,41,12.66,0.8,0,KSC LC 39A,1
2011-01-28 14:30:00,33.85,57,7.02,30,14.69,0.17,0,CCSFS SLC 40,1
2011-01-29 14:30:00,32.87,77,20.55,60,6.11,0.24,0,CCSFS SLC 40,1
2011-01-30 14:30:00,19.25,81,7.97,55,13.97,1.23,0,CCSFS SLC 40,1
2011-01-31 14:30:00,10.39,65,8.9,85,14.81,0.53,0,CCSFS SLC 40,1
2011-02-01 14:30:00,33.21,30,8.68,99,10.16,1.23,0,KSC LC 39A,1
2011-02-02 14:30:00,20.7,91,20.94,82,16.18,0.1,0,VAFB SLC 4E,1
2011-02-03 14:30:00,34.17,27,15.59,13,11.28,0.37,0,CCSFS SLC 40,1
2011-02-04 14:30:00,34.09,90,24.72,13,16.05,1.15,0,CCSFS SLC 40,1
2011-02-05 14:30:00,31.33,83,8.61,28,8.01,0.96,0,CCSFS SLC 40,1
2011-02-06 14:30:00,17.36,40,19.38,80,18.79,0.46,0,KSC LC 39A,1
2011-02-07 14:30:00,19.63,91,21.08,49,18.31,1.4,0,KSC LC 39A,1
2011-02-08 14:30:00,31.28,82,4.24,49,8.11,0.32,0,KSC LC 39A,1
2011-02-09 14:30:00,17.92,83,11.22,62,19.14,1.27,0,VAFB SLC 4E,1
2011-02-10 14:30:00,14.24,39,13.52,72,13.81,1.04,0,VAFB SLC 4E,1
2011-02-11 14:30:00,23.92,27,9.96,64,15.82,0.18,0,CCSFS SLC 40,1
2011-02-12 14:30:00,33.4,77,9.02,67,17.76,0.83,0,KSC LC 39A,1
2011-02-13 14:30:00,27.4,65,19.22,70,7.17,1.39,0,VAFB SLC 4E,1
2011-02-14 14:30:00,24.25,50,6.04,10,8.37,0.93,0,VAFB SLC 4E,1
2011-02-15 14:30:00,12.43,28,19.86,13,10.07,0.79,0,KSC LC 39A,1
2011-02-16 14:30:00,25.38,34,26.18,82,12.68,0.55,0,VAFB SLC 4E,1
2011-02-17 14:30:00,34.75,45,15.83,2,10.84,1.18,0,KSC LC 39A,1
2011-02-18 14:30:00,13.5,29,17.12,7,13.08,1.37,0,KSC LC 39A,1
2011-02-19 14:30:00,22.96,48,1.93,92,8.6,1.13,0,KSC LC 39A,1
2011-02-20 14:30:00,31.93,99,24.21,42,15.55,1.09,0,CCSFS SLC 40,1
2011-02-21 14:30:00,28.52,55,7.99,8,6.78,0.29,0,VAFB SLC 4E,1
2011-02-22 14:30:00,27.43,56,17.22,18,11.06,1.25,0,CCSFS SLC 40,1
2011-02-23 14:30:00,27.56,90,27.42,11,8.51,0.06,0,KSC LC 39A,1
2011-02-24 14:30:00,18.99,42,16.67,26,16.22,1.14,0,VAFB SLC 4E,1
2011-02-25 14:30:00,17.34,60,20.29,57,18.37,0.32,0,VAFB SLC 4E,1
2011-02-26 14:30:00,30.23,99,12.47,24,7.1,0.73,0,CCSFS SLC 40,1
2011-02-27 14:30:00,30.25,47,1.69,44,16.99,1.04,0,CCSFS SLC 40,1
2011-02-28 14:30:00,31.68,67,22.33,47,18.54,1.14,0,VAFB SLC 4E,1
2011-03-01 14:30:00,32.83,57,0.98,49,19.64,1.33,0,CCSFS SLC 40,1
2011-03-02 14:30:00,22.78,50,19.62,80,14.11,0.42,0,CCSFS SLC 40,1
2011-03-03 14:30:00,22.54,33,0.64,43,10.58,0.34,0,KSC LC 39A,1
2011-03-04 14:30:00,29.96,92,24.14,58,10.51,1.49,0,VAFB SLC 4E,1
2011-03-05 14:30:00,26.25,96,4.41,32,11.31,0.31,0,KSC LC 39A,1
2011-03-06 14:30:00,27.55,48,14.4,77,14.58,1.0,0,KSC LC 39A,1
2011-03-07 14:30:00,29.89,70,16.72,27,12.86,1.43,0,VAFB SLC 4E,1
2011-03-08 14:30:00,32.25,68,12.81,17,15.15,1.34,0,VAFB SLC 4E,1
2011-03-09 14:30:00,18.45,62,9.54,54,6.55,0.66,0,KSC LC 39A,1
2011-03-10 14:30:00,19.39,91,13.1,32,7.48,0.96,0,VAFB SLC 4E,1
2011-03-11 14:30:00,12.35,24,8.72,14,19.67,0.79,0,KSC LC 39A,1
2011-03-12 14:30:00,24.46,61,12.27,60,19.94,0.52,0,KSC LC 39A,1
2011-03-13 14:30:00,10.9,26,10.05,10,16.45,0.22,0,CCSFS SLC 40,1
2011-03-14 14:30:00,21.64,61,15.85,35,9.59,1.21,0,KSC LC 39A,1
2011-03-15 14:30:00,23.57,55,6.66,14,19.35,0.14,0,VAFB SLC 4E,1
2011-03-16 14:30:00,17.16,46,27.68,52,8.99,0.91,0,KSC LC 39A,1
2011-03-17 14:30:00,24.77,77,14.02,61,16.24,0.89,0,KSC LC 39A,1
2011-03-18 14:30:00,10.76,65,5.44,47,7.61,0.5,0,VAFB SLC 4E,1
2011-03-19 14:30:00,10.93,85,13.36,93,15.08,0.2,0,VAFB SLC 4E,1
